hit,miss,incorrect,rew_location,area_rewarded,time_to_reward,trial_start_time,end_trial_time,mouse_enter_time,first_reward_area_visited,entrance1,entrance2,rewA,rewB,rewC,rewD,rew_location.1,state_sequence,video_segment_path,matched_trial_id,avg_speed_px_per_frame,max_speed_px_per_frame,min_speed_px_per_frame
,,1.0,C,,,3051228.0,3065937.0,3055770.0,rewB,2552.0,643.0,,3701.0,,,C,"1, 3",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_043.mp4,trial_043,1.436849730900658,14.906244735804513,0.0
,,1.0,D,,,3065942.0,3129521.0,3084574.0,rewA,3421.0,1448.0,3385.0,956.0,9492.0,2936.0,D,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_044.mp4,trial_044,0.822251155081632,12.089223713813311,0.0
1.0,,,B,B,34736.0,3129526.0,3223602.0,3160989.0,rewB,2357.0,2288.0,575.0,57742.0,,,B,"2, 4, 1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_045.mp4,trial_045,0.49167325710819587,8.939778543244428,0.0
,,1.0,C,,,3223605.0,3253058.0,3241115.0,rewB,5134.0,17758.0,,29457.0,,,C,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_046.mp4,trial_046,0.31382927892921264,2.0909093837132278,0.0
,,1.0,D,,,3253070.0,3281488.0,3268938.0,rewB,1409.0,381.0,,20443.0,,,D,"1,3",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_047.mp4,trial_047,1.0828006924309044,12.493499765590258,0.0
1.0,,,A,A,11741.0,3281498.0,3403153.0,3285133.0,rewA,1217.0,518.0,34865.0,40049.0,,,A,"3, 2, 4, 3",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_048.mp4,trial_048,0.4689233688674359,13.085106724322108,0.0
,,1.0,D,,,3403159.0,3412341.0,,rewB,6613.0,2611.0,,9186.0,,,D,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_049.mp4,trial_049,0.4171740045514094,1.414516089445484,0.0
,,1.0,A,,,3412347.0,3465887.0,3413067.0,rewB,2139.0,1120.0,3315.0,24876.0,,,A,"3, 1, 3, 1, 3, ",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_050.mp4,trial_050,0.5399079404734122,11.671737360761691,0.0
,,1.0,C,,,3465892.0,3485166.0,3482604.0,rewB,2286.0,338.0,,1578.0,,,C,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_051.mp4,trial_051,3.2469668119278703,13.852598503699484,0.0
1.0,,,B,B,12911.0,3485179.0,3560911.0,3498090.0,rewB,1043.0,2817.0,2948.0,43264.0,6689.0,,B,"1, 4, 3, 1, ",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_052.mp4,trial_052,0.5786665187899191,9.91176608295919,0.0
